"filename", "language", "JSON", "JavaScript", "vue", "CSS", "SCSS", "JSON with Comments", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/project.private.config.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 25, 14, 76
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-badge/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-badge/components/uni-badge/uni-badge.vue", "vue", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 23, 269
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-badge/package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-badge/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/calendar.js", "JavaScript", 0, 324, 0, 0, 0, 0, 0, 0, 0, 184, 39, 547
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/i18n/en.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/i18n/index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/i18n/zh-Hans.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/i18n/zh-Hant.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/uni-calendar-item.vue", "vue", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 15, 188
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/uni-calendar.vue", "vue", 0, 0, 534, 0, 0, 0, 0, 0, 0, 0, 33, 567
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/components/uni-calendar/util.js", "JavaScript", 0, 255, 0, 0, 0, 0, 0, 0, 0, 83, 23, 361
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-calendar/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 31, 104
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-card/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-card/components/uni-card/uni-card.vue", "vue", 0, 0, 248, 0, 0, 0, 0, 0, 0, 3, 20, 271
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-card/package.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-card/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 7, 13
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-collapse/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 36
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-collapse/components/uni-collapse-item/uni-collapse-item.vue", "vue", 0, 0, 375, 0, 0, 0, 0, 0, 0, 1, 27, 403
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-collapse/components/uni-collapse/uni-collapse.vue", "vue", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 3, 148
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-collapse/package.json", "JSON", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-collapse/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 12
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-combox/changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-combox/components/uni-combox/uni-combox.vue", "vue", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 16, 276
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/uni_modules/uni-combox/package.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90
